Humidity,Wind Speed (km/h),Visibility (km),Emission Rate,Start Size,UserIntensity
1.0,4.83,0.0,10000.0,1.0,15.0
0.93,2.6565,0.3381,9335.0,0.9510000000000001,13.950000000000001
0.93,9.2575,0.7889,9335.0,0.9510000000000001,13.950000000000001
0.96,3.2039,1.1592,9620.0,0.972,14.399999999999999
0.96,6.0536,0.5474000000000001,9620.0,0.972,14.399999999999999
0.92,0.7406,8.4686,9240.0,0.944,13.8
0.88,7.567000000000001,9.982,8860.0,0.9159999999999999,13.2
0.95,3.6869,9.982,9525.0,0.9649999999999999,14.25
0.88,4.7334000000000005,9.982,8860.0,0.9159999999999999,13.2
0.92,3.3488,9.982,9240.0,0.944,13.8
0.95,5.763800000000001,9.982,9525.0,0.9649999999999999,14.25
0.92,6.0536,9.982,9240.0,0.944,13.8
0.92,6.262900000000001,10.0464,9240.0,0.944,13.8
0.92,3.059,8.1949,9240.0,0.944,13.8
0.92,3.3166,8.05,9240.0,0.944,13.8
0.95,2.7209,8.3398,9525.0,0.9649999999999999,14.25
0.99,4.7656,8.1949,9905.0,0.9929999999999999,14.85
0.99,3.0268,6.1985,9905.0,0.9929999999999999,14.85
0.93,8.8389,3.3971,9335.0,0.9510000000000001,13.950000000000001
0.92,7.647500000000001,8.6135,9240.0,0.944,13.8
0.96,11.3988,11.8979,9620.0,0.972,14.399999999999999
0.96,14.49,9.8049,9620.0,0.972,14.399999999999999
0.96,10.2718,7.0518,9620.0,0.972,14.399999999999999
0.9,6.44,6.118,9050.0,0.9299999999999999,13.5
0.92,11.27,6.118,9240.0,0.944,13.8
0.99,11.27,0.6762,9905.0,0.9929999999999999,14.85
0.99,0.0,1.5617,9905.0,0.9929999999999999,14.85
0.94,14.49,3.059,9430.0,0.958,14.1
0.95,9.9176,5.699400000000001,9525.0,0.9649999999999999,14.25
0.99,11.27,9.6761,9905.0,0.9929999999999999,14.85
0.92,14.49,3.059,9240.0,0.944,13.8
0.96,9.6278,6.0375000000000005,9620.0,0.972,14.399999999999999
0.94,14.49,1.449,9430.0,0.958,14.1
0.94,11.27,1.449,9430.0,0.958,14.1
0.94,1.5295,1.2880000000000005,9430.0,0.958,14.1
0.98,1.5295,1.932,9810.0,0.986,14.7
0.98,3.6869,4.0733,9810.0,0.986,14.7
0.96,4.6368,2.5760000000000005,9620.0,0.972,14.399999999999999
0.94,3.22,3.059,9430.0,0.958,14.1
0.87,5.2647,8.9677,8765.0,0.909,13.05
0.92,4.7656,8.05,9240.0,0.944,13.8
0.88,12.525800000000002,9.982,8860.0,0.9159999999999999,13.2
0.81,1.5295,9.982,8195.0,0.867,12.15
0.85,0.0,9.982,8575.0,0.895,12.75
0.8,8.372000000000002,14.9569,8100.0,0.8599999999999999,12.0
0.92,1.5295,9.982,9240.0,0.944,13.8
0.92,3.22,9.982,9240.0,0.944,13.8
0.82,4.3631,14.876400000000002,8290.0,0.8739999999999999,12.299999999999999
0.92,3.22,8.05,9240.0,0.944,13.8
0.92,6.7942,8.05,9240.0,0.944,13.8
0.77,3.944500000000001,15.150100000000002,7815.0,0.839,11.55
0.88,3.22,8.05,8860.0,0.9159999999999999,13.2
0.86,5.828200000000001,8.05,8670.0,0.9019999999999999,12.9
