Humidity,Wind Speed (km/h),Visibility (km),Emission Rate,Start Size,UserIntensity
0.85,5.1359,15.3594,8575.0,0.895,12.75
0.86,14.49,8.05,8670.0,0.9019999999999999,12.9
0.88,6.9391,8.05,8860.0,0.9159999999999999,13.2
0.85,7.583100000000001,14.2163,8575.0,0.895,12.75
0.84,7.4704,11.27,8480.0,0.8879999999999999,12.6
0.83,6.9391,11.27,8385.0,0.881,12.45
0.78,8.4525,12.0911,7910.0,0.8459999999999999,11.700000000000001
0.85,3.703,9.982,8575.0,0.895,12.75
0.9,8.645700000000001,8.05,9050.0,0.9299999999999999,13.5
0.86,7.1967,9.9015,8670.0,0.9019999999999999,12.9
0.96,7.2611,8.05,9620.0,0.972,14.399999999999999
0.94,2.6404,6.118,9430.0,0.958,14.1
0.87,6.6976,8.1466,8765.0,0.909,13.05
0.96,6.4078,1.449,9620.0,0.972,14.399999999999999
0.96,6.3112,0.805,9620.0,0.972,14.399999999999999
0.92,8.774500000000002,4.3309,9240.0,0.944,13.8
0.96,6.3756,0.483,9620.0,0.972,14.399999999999999
0.96,6.3756,0.322,9620.0,0.972,14.399999999999999
0.97,9.982,1.3846,9715.0,0.9789999999999999,14.549999999999999
0.92,5.8765,0.161,9240.0,0.944,13.8
0.92,6.0536,0.161,9240.0,0.944,13.8
0.96,6.279,0.3864,9620.0,0.972,14.399999999999999
0.98,3.22,0.161,9810.0,0.986,14.7
0.98,3.22,0.161,9810.0,0.986,14.7
0.96,6.8908000000000005,0.4025,9620.0,0.972,14.399999999999999
0.96,6.2468,0.1771,9620.0,0.972,14.399999999999999
0.93,9.1931,1.2558,9335.0,0.9510000000000001,13.950000000000001
0.99,9.338,1.7066,9905.0,0.9929999999999999,14.85
1.0,10.5938,1.8515,10000.0,1.0,15.0
1.0,10.577700000000002,1.8676,10000.0,1.0,15.0
1.0,8.8228,0.8533000000000001,10000.0,1.0,15.0
1.0,9.2414,1.7066,10000.0,1.0,15.0
0.92,9.338,0.322,9240.0,0.944,13.8
0.93,8.9999,0.3059,9335.0,0.9510000000000001,13.950000000000001
1.0,10.5616,0.322,10000.0,1.0,15.0
0.96,6.295100000000001,0.322,9620.0,0.972,14.399999999999999
1.0,6.810300000000001,0.3059,10000.0,1.0,15.0
1.0,3.22,0.322,10000.0,1.0,15.0
0.96,3.3005,0.322,9620.0,0.972,14.399999999999999
0.96,2.737,2.5921000000000003,9620.0,0.972,14.399999999999999
0.96,6.4078,1.8515,9620.0,0.972,14.399999999999999
0.96,6.44,2.9302,9620.0,0.972,14.399999999999999
0.96,6.6976,1.5134,9620.0,0.972,14.399999999999999
0.99,7.953400000000001,2.9785000000000004,9905.0,0.9929999999999999,14.85
0.92,9.4507,3.4454,9240.0,0.944,13.8
1.0,10.0142,3.0912,10000.0,1.0,15.0
0.99,8.162700000000001,3.4937,9905.0,0.9929999999999999,14.85
0.92,8.05,3.9606,9240.0,0.944,13.8
0.93,8.5652,3.6708,9335.0,0.9510000000000001,13.950000000000001
0.92,4.7012,5.9731000000000005,9240.0,0.944,13.8
0.92,3.1395,4.395300000000001,9240.0,0.944,13.8
0.93,5.313,4.2987,9335.0,0.9510000000000001,13.950000000000001
0.92,1.61,4.347,9240.0,0.944,13.8
0.96,6.327300000000001,3.4293,9620.0,0.972,14.399999999999999
0.96,5.8121,3.3327,9620.0,0.972,14.399999999999999
0.96,10.3845,2.9785000000000004,9620.0,0.972,14.399999999999999
1.0,0.0,0.3381,10000.0,1.0,15.0
1.0,3.22,0.161,10000.0,1.0,15.0
0.96,3.22,0.322,9620.0,0.972,14.399999999999999
1.0,3.5581,0.161,10000.0,1.0,15.0
0.96,1.5456,0.161,9620.0,0.972,14.399999999999999
1.0,4.652900000000001,0.1932,10000.0,1.0,15.0
1.0,3.9928,0.0483,10000.0,1.0,15.0
1.0,3.6386,0.0322,10000.0,1.0,15.0
0.99,5.152000000000001,0.0322,9905.0,0.9929999999999999,14.85
0.93,8.017800000000001,0.0805,9335.0,0.9510000000000001,13.950000000000001
0.96,6.0536,2.9785000000000004,9620.0,0.972,14.399999999999999
0.93,9.5795,5.6833,9335.0,0.9510000000000001,13.950000000000001
0.96,6.1985,2.9785000000000004,9620.0,0.972,14.399999999999999
0.96,5.9892,0.805,9620.0,0.972,14.399999999999999
0.93,6.4078,3.1234,9335.0,0.9510000000000001,13.950000000000001
0.93,10.8675,2.9624,9335.0,0.9510000000000001,13.950000000000001
0.93,7.808499999999999,3.4132,9335.0,0.9510000000000001,13.950000000000001
0.93,10.0464,1.6261,9335.0,0.9510000000000001,13.950000000000001
0.92,3.1556,1.8837,9240.0,0.944,13.8
0.89,7.760200000000001,2.9785000000000004,8955.0,0.923,13.35
0.9,11.7369,3.4454,9050.0,0.9299999999999999,13.5
0.88,9.7727,4.4919,8860.0,0.9159999999999999,13.2
0.89,11.0124,4.1216,8955.0,0.923,13.35
0.91,12.9605,4.9588,9145.0,0.937,13.65
0.92,14.2646,5.796,9240.0,0.944,13.8
0.92,14.5544,5.506200000000001,9240.0,0.944,13.8
0.92,14.49,4.9910000000000005,9240.0,0.944,13.8
0.92,11.0285,4.8461,9240.0,0.944,13.8
0.93,6.4722,4.9105,9335.0,0.9510000000000001,13.950000000000001
0.88,10.835300000000002,5.9731000000000005,8860.0,0.9159999999999999,13.2
0.96,11.7691,2.7209,9620.0,0.972,14.399999999999999
0.92,10.4972,5.9248,9240.0,0.944,13.8
0.93,2.9463000000000004,7.695800000000001,9335.0,0.9510000000000001,13.950000000000001
0.96,9.8049,7.148400000000001,9620.0,0.972,14.399999999999999
0.93,10.6743,7.695800000000001,9335.0,0.9510000000000001,13.950000000000001
0.92,13.4435,9.5634,9240.0,0.944,13.8
0.93,9.3702,5.6028,9335.0,0.9510000000000001,13.950000000000001
0.93,8.8067,4.3631,9335.0,0.9510000000000001,13.950000000000001
0.86,8.7423,4.8461,8670.0,0.9019999999999999,12.9
0.89,5.152000000000001,4.7334000000000005,8955.0,0.923,13.35
0.89,4.8944,5.957000000000001,8955.0,0.923,13.35
0.86,10.8997,5.957000000000001,8670.0,0.9019999999999999,12.9
0.92,7.647500000000001,1.4973,9240.0,0.944,13.8
0.99,9.0482,1.3524,9905.0,0.9929999999999999,14.85
0.92,9.7405,1.3685,9240.0,0.944,13.8
0.99,10.6904,1.3524,9905.0,0.9929999999999999,14.85
0.96,10.8997,1.3524,9620.0,0.972,14.399999999999999
0.96,12.1394,2.1413,9620.0,0.972,14.399999999999999
0.93,10.143,2.9624,9335.0,0.9510000000000001,13.950000000000001
0.86,11.27,4.83,8670.0,0.9019999999999999,12.9
0.89,4.9105,3.8962,8955.0,0.923,13.35
0.89,3.22,4.3631,8955.0,0.923,13.35
0.88,2.8497000000000003,4.3631,8860.0,0.9159999999999999,13.2
0.87,3.3649,4.7334000000000005,8765.0,0.909,13.05
0.88,7.824600000000001,4.3631,8860.0,0.9159999999999999,13.2
0.88,3.22,4.3631,8860.0,0.9159999999999999,13.2
0.89,4.3631,3.5259,8955.0,0.923,13.35
0.88,1.7227,2.9624,8860.0,0.9159999999999999,13.2
0.88,7.776300000000001,4.8139,8860.0,0.9159999999999999,13.2
0.89,5.4096,5.6511,8955.0,0.923,13.35
0.88,9.3863,6.9069,8860.0,0.9159999999999999,13.2
0.81,9.4668,8.7423,8195.0,0.867,12.15
0.82,5.2647,9.9015,8290.0,0.8739999999999999,12.299999999999999
0.76,3.5420000000000007,6.021400000000001,7720.0,0.8319999999999999,11.4
0.76,9.3863,6.9391,7720.0,0.8319999999999999,11.4
0.82,7.921200000000001,4.7656,8290.0,0.8739999999999999,12.299999999999999
0.88,4.508,4.395300000000001,8860.0,0.9159999999999999,13.2
0.88,7.486500000000001,4.3631,8860.0,0.9159999999999999,13.2
0.89,7.148400000000001,4.6851,8955.0,0.923,13.35
0.88,13.2664,4.7978000000000005,8860.0,0.9159999999999999,13.2
0.88,9.9981,4.347,8860.0,0.9159999999999999,13.2
0.89,9.6439,4.2987,8955.0,0.923,13.35
0.88,10.7548,3.847900000000001,8860.0,0.9159999999999999,13.2
0.96,6.3112,0.161,9620.0,0.972,14.399999999999999
0.96,5.425700000000001,1.1431,9620.0,0.972,14.399999999999999
0.96,10.6099,0.1932,9620.0,0.972,14.399999999999999
0.96,10.448900000000002,0.1932,9620.0,0.972,14.399999999999999
0.96,2.8336,0.322,9620.0,0.972,14.399999999999999
1.0,4.4758,0.8372,10000.0,1.0,15.0
0.96,4.7012,0.6279,9620.0,0.972,14.399999999999999
0.99,4.5402000000000005,1.2558,9905.0,0.9929999999999999,14.85
1.0,7.357700000000001,0.322,10000.0,1.0,15.0
0.99,9.2253,0.322,9905.0,0.9929999999999999,14.85
0.99,4.2826,0.3059,9905.0,0.9929999999999999,14.85
0.92,8.0017,0.3381,9240.0,0.944,13.8
0.99,4.9105,0.8372,9905.0,0.9929999999999999,14.85
0.98,1.9159,0.9177,9810.0,0.986,14.7
0.93,2.9302,0.7889,9335.0,0.9510000000000001,13.950000000000001
1.0,4.6851,0.8533000000000001,10000.0,1.0,15.0
0.96,6.2468,0.7889,9620.0,0.972,14.399999999999999
0.99,5.796,0.322,9905.0,0.9929999999999999,14.85
1.0,6.1985,0.4025,10000.0,1.0,15.0
1.0,6.1985,0.4025,10000.0,1.0,15.0
0.93,3.4132,8.3237,9335.0,0.9510000000000001,13.950000000000001
0.96,3.2522,0.7084,9620.0,0.972,14.399999999999999
0.96,3.1073,0.9499,9620.0,0.972,14.399999999999999
0.98,2.3345,1.2236,9810.0,0.986,14.7
0.96,0.6118,0.9499,9620.0,0.972,14.399999999999999
0.96,5.0393,0.483,9620.0,0.972,14.399999999999999
1.0,4.8461,0.7567,10000.0,1.0,15.0
0.99,7.969500000000001,1.9159,9905.0,0.9929999999999999,14.85
0.92,9.016,3.1395,9240.0,0.944,13.8
0.88,8.1788,6.0697,8860.0,0.9159999999999999,13.2
0.88,11.1734,6.0697,8860.0,0.9159999999999999,13.2
0.91,8.1144,5.7316,9145.0,0.937,13.65
0.95,3.5581,6.021400000000001,9525.0,0.9649999999999999,14.25
0.92,10.996300000000002,6.021400000000001,9240.0,0.944,13.8
0.91,6.7298,6.1341,9145.0,0.937,13.65
0.88,6.4561,9.7083,8860.0,0.9159999999999999,13.2
0.91,6.6332,9.7083,9145.0,0.937,13.65
0.8,10.4167,14.4095,8100.0,0.8599999999999999,12.0
0.92,6.5366,9.6761,9240.0,0.944,13.8
0.92,6.7298,7.824600000000001,9240.0,0.944,13.8
0.91,12.8961,6.1341,9145.0,0.937,13.65
0.92,5.2003,6.0375000000000005,9240.0,0.944,13.8
0.92,8.1949,6.118,9240.0,0.944,13.8
0.86,10.1108,4.524100000000001,8670.0,0.9019999999999999,12.9
0.85,12.8156,6.295100000000001,8575.0,0.895,12.75
0.88,15.778000000000002,9.982,8860.0,0.9159999999999999,13.2
0.82,15.1823,9.4507,8290.0,0.8739999999999999,12.299999999999999
0.82,12.654600000000002,9.9015,8290.0,0.8739999999999999,12.299999999999999
0.83,10.4006,11.0768,8385.0,0.881,12.45
0.87,11.5276,9.982,8765.0,0.909,13.05
0.8,11.3505,15.826300000000002,8100.0,0.8599999999999999,12.0
0.8,11.27,14.586600000000002,8100.0,0.8599999999999999,12.0
0.78,11.1734,15.826300000000002,7910.0,0.8459999999999999,11.700000000000001
0.78,11.1734,15.826300000000002,7910.0,0.8459999999999999,11.700000000000001
0.87,3.0429,6.6493,8765.0,0.909,13.05
0.81,11.2217,15.826300000000002,8195.0,0.867,12.15
0.84,6.7781,15.826300000000002,8480.0,0.8879999999999999,12.6
0.84,10.4972,14.9569,8480.0,0.8879999999999999,12.6
0.92,8.2593,9.9015,9240.0,0.944,13.8
0.84,11.4793,9.9015,8480.0,0.8879999999999999,12.6
0.85,4.1699,9.821,8575.0,0.895,12.75
0.85,9.7405,9.7566,8575.0,0.895,12.75
0.81,17.0338,9.8049,8195.0,0.867,12.15
0.78,14.5222,10.5938,7910.0,0.8459999999999999,11.700000000000001
0.75,11.0446,11.2056,7625.0,0.825,11.25
0.74,2.4472,11.125100000000002,7530.0,0.8180000000000001,11.1
0.8,2.7531000000000003,9.9015,8100.0,0.8599999999999999,12.0
0.84,3.5098000000000003,9.8371,8480.0,0.8879999999999999,12.6
0.85,4.8461,6.118,8575.0,0.895,12.75
0.91,6.118,6.118,9145.0,0.937,13.65
0.91,5.699400000000001,6.166300000000001,9145.0,0.937,13.65
0.91,6.391700000000001,6.118,9145.0,0.937,13.65
0.88,3.5581,6.118,8860.0,0.9159999999999999,13.2
0.95,5.313,3.719100000000001,9525.0,0.9649999999999999,14.25
0.91,3.6225,6.0697,9145.0,0.937,13.65
0.92,6.6332,6.0697,9240.0,0.944,13.8
0.88,7.0035,6.295100000000001,8860.0,0.9159999999999999,13.2
0.91,8.05,6.0697,9145.0,0.937,13.65
0.92,3.22,5.9731000000000005,9240.0,0.944,13.8
0.92,4.1055,3.944500000000001,9240.0,0.944,13.8
0.95,4.2665,3.5259,9525.0,0.9649999999999999,14.25
0.88,8.1466,4.8461,8860.0,0.9159999999999999,13.2
0.82,9.3541,6.0053,8290.0,0.8739999999999999,12.299999999999999
0.82,1.7710000000000004,6.0053,8290.0,0.8739999999999999,12.299999999999999
0.85,6.7298,6.118,8575.0,0.895,12.75
0.92,4.8139,5.957000000000001,9240.0,0.944,13.8
0.92,6.230700000000001,6.8747,9240.0,0.944,13.8
0.95,6.1502,4.508,9525.0,0.9649999999999999,14.25
0.92,6.295100000000001,3.9606,9240.0,0.944,13.8
0.92,3.3488,3.9606,9240.0,0.944,13.8
0.96,19.964,0.966,9620.0,0.972,14.399999999999999
0.96,4.8944,1.8837,9620.0,0.972,14.399999999999999
0.96,3.2844,0.1932,9620.0,0.972,14.399999999999999
0.96,3.2039,0.3381,9620.0,0.972,14.399999999999999
0.92,4.6690000000000005,0.161,9240.0,0.944,13.8
0.92,4.7656,0.161,9240.0,0.944,13.8
0.93,4.9266000000000005,0.1449,9335.0,0.9510000000000001,13.950000000000001
0.92,7.969500000000001,0.161,9240.0,0.944,13.8
0.92,7.889000000000001,0.1771,9240.0,0.944,13.8
0.93,10.6743,0.1932,9335.0,0.9510000000000001,13.950000000000001
0.99,11.1412,0.3381,9905.0,0.9929999999999999,14.85
0.99,13.0732,0.805,9905.0,0.9929999999999999,14.85
0.92,12.9766,1.3685,9240.0,0.944,13.8
0.98,14.457800000000002,2.9785000000000004,9810.0,0.986,14.7
0.98,13.2825,3.4615,9810.0,0.986,14.7
0.99,14.457800000000002,3.4615,9905.0,0.9929999999999999,14.85
0.92,14.441700000000004,4.83,9240.0,0.944,13.8
0.85,17.4524,10.8192,8575.0,0.895,12.75
0.85,17.4524,9.5956,8575.0,0.895,12.75
0.96,20.865600000000004,0.805,9620.0,0.972,14.399999999999999
0.88,6.44,3.864,8860.0,0.9159999999999999,13.2
0.88,1.8193,2.9946,8860.0,0.9159999999999999,13.2
0.92,6.3112,3.864,9240.0,0.944,13.8
0.92,6.1824,3.0751,9240.0,0.944,13.8
0.93,6.327300000000001,3.1717,9335.0,0.9510000000000001,13.950000000000001
0.92,3.2522,3.3971,9240.0,0.944,13.8
0.93,7.905100000000001,2.9302,9335.0,0.9510000000000001,13.950000000000001
0.92,7.2611,1.61,9240.0,0.944,13.8
0.92,5.055400000000001,1.2558,9240.0,0.944,13.8
0.92,3.1556,0.805,9240.0,0.944,13.8
0.93,4.524100000000001,0.8211,9335.0,0.9510000000000001,13.950000000000001
0.92,4.8461,1.2880000000000005,9240.0,0.944,13.8
0.92,4.6851,1.449,9240.0,0.944,13.8
0.92,3.5420000000000007,1.7710000000000004,9240.0,0.944,13.8
0.92,4.9427,2.2057,9240.0,0.944,13.8
0.92,4.83,3.4454,9240.0,0.944,13.8
0.92,4.508,3.1556,9240.0,0.944,13.8
0.85,7.6636,3.8962,8575.0,0.895,12.75
0.92,3.6064000000000007,3.912300000000001,9240.0,0.944,13.8
0.92,7.148400000000001,4.1538,9240.0,0.944,13.8
0.92,7.647500000000001,3.9284,9240.0,0.944,13.8
0.92,10.5455,3.4615,9240.0,0.944,13.8
0.9,6.2146,3.5581,9050.0,0.9299999999999999,13.5
0.88,3.5420000000000007,3.4937,8860.0,0.9159999999999999,13.2
0.86,6.1824,11.5276,8670.0,0.9019999999999999,12.9
0.86,4.5563,7.905100000000001,8670.0,0.9019999999999999,12.9
0.86,4.6690000000000005,6.9391,8670.0,0.9019999999999999,12.9
0.87,4.4114,7.0035,8765.0,0.909,13.05
0.86,13.4274,8.0822,8670.0,0.9019999999999999,12.9
0.92,17.2753,4.3631,9240.0,0.944,13.8
0.86,17.581200000000003,4.3631,8670.0,0.9019999999999999,12.9
0.92,17.549000000000003,4.3631,9240.0,0.944,13.8
0.92,16.8084,4.8461,9240.0,0.944,13.8
0.88,20.3343,4.395300000000001,8860.0,0.9159999999999999,13.2
0.85,17.2109,4.3631,8575.0,0.895,12.75
0.85,6.7620000000000005,11.0607,8575.0,0.895,12.75
0.85,20.3665,7.776300000000001,8575.0,0.895,12.75
0.88,17.3075,7.824600000000001,8860.0,0.9159999999999999,13.2
0.79,19.642,8.1788,8005.0,0.853,11.850000000000001
0.72,15.9712,9.7083,7340.0,0.804,10.799999999999999
0.78,20.3987,9.7083,7910.0,0.8459999999999999,11.700000000000001
0.78,16.1322,9.7888,7910.0,0.8459999999999999,11.700000000000001
0.72,20.4953,9.9015,7340.0,0.804,10.799999999999999
0.7,20.4953,9.9015,7150.0,0.7899999999999999,10.5
0.74,22.218000000000004,10.948,7530.0,0.8180000000000001,11.1
0.69,22.507800000000003,11.125100000000002,7054.999999999999,0.7829999999999999,10.35
0.63,20.8495,11.125100000000002,6485.0,0.7409999999999999,9.45
0.63,20.6402,11.125100000000002,6485.0,0.7409999999999999,9.45
0.69,4.6046000000000005,11.27,7054.999999999999,0.7829999999999999,10.35
0.69,9.338,11.27,7054.999999999999,0.7829999999999999,10.35
0.79,4.524100000000001,11.0285,8005.0,0.853,11.850000000000001
0.81,4.8944,9.982,8195.0,0.867,12.15
0.78,4.1377,9.9015,7910.0,0.8459999999999999,11.700000000000001
0.83,5.3935,14.876400000000002,8385.0,0.881,12.45
0.92,4.6046000000000005,9.8049,9240.0,0.944,13.8
0.92,4.83,9.8049,9240.0,0.944,13.8
0.89,3.751300000000001,9.1931,8955.0,0.923,13.35
0.85,12.5741,9.6117,8575.0,0.895,12.75
0.85,12.4453,9.6117,8575.0,0.895,12.75
0.89,12.4292,9.6761,8955.0,0.923,13.35
0.84,12.4453,9.5956,8480.0,0.8879999999999999,12.6
0.84,14.457800000000002,7.744099999999999,8480.0,0.8879999999999999,12.6
0.81,12.4936,9.3219,8195.0,0.867,12.15
0.79,15.504300000000002,9.7566,8005.0,0.853,11.850000000000001
0.72,15.649200000000002,9.9015,7340.0,0.804,10.799999999999999
0.62,20.5758,9.982,6390.0,0.734,9.3
0.56,23.167900000000003,9.982,5820.000000000001,0.692,8.4
0.61,24.955,11.2056,6295.0,0.727,9.15
0.68,20.8495,5.5384,6960.000000000001,0.776,10.200000000000001
0.7,17.388,6.295100000000001,7150.0,0.7899999999999999,10.5
0.7,14.3934,8.05,7150.0,0.7899999999999999,10.5
0.72,15.423800000000002,10.0625,7340.0,0.804,10.799999999999999
0.71,12.5419,10.8997,7245.0,0.7969999999999999,10.649999999999999
